,Remaining Day,Minimum,-2.0 S.D.,-1.5 S.D.,-1.0 S.D.,-0.5 S.D.,Median,Mean,+0.5 S.D.,+1.0 S.D.,+1.5 S.D.,+2.0 S.D.,Maximum
13,112,3.4475553698286667,1.9055415746880087,5.043001087928239,8.18046060116847,11.317920114408698,13.501047457064631,14.455379627648929,17.592839140889158,20.73029865412939,23.86775816736962,27.00521768060985,41.666666666666664
14,111,2.956989247311828,2.2074383548294367,5.229437938428607,8.251437522027778,11.273437105626948,13.461267584968338,14.295436689226118,17.31743627282529,20.33943585642446,23.36143544002363,26.383435023622802,38.759689922480625
15,110,3.0353200883002214,2.1184126902135105,5.174227399404057,8.230042108594601,11.285856817785145,13.981766974999665,14.341671526975691,17.397486236166237,20.45330094535678,23.509115654547326,26.564930363737872,39.8406374501992
16,109,3.1548757170172084,2.2890421830150824,5.359866506487879,8.430690829960676,11.501515153433473,13.958546833367492,14.57233947690627,17.643163800379067,20.713988123851863,23.78481244732466,26.85563677079746,39.8406374501992
17,108,3.193612774451098,2.8076458981695147,5.741770075012909,8.675894251856304,11.6100184286997,14.008649608290412,14.544142605543094,17.478266782386488,20.41239095922988,23.34651513607328,26.280639312916673,39.37007874015748
18,107,3.181642884689549,2.4690700397418937,5.5095821400300125,8.550094240318131,11.590606340606252,13.94067665414914,14.63111844089437,17.67163054118249,20.71214264147061,23.75265474175873,26.793166842046848,38.91050583657588
19,106,3.274268104776579,2.7065318286226656,5.6754514549519754,8.644371081281285,11.613290707610593,14.127714348261723,14.582210333939903,17.55112996026921,20.52004958659852,23.48896921292783,26.45788883925714,39.0625
20,105,3.357753357753358,2.486967726800499,5.573332395052075,8.659697063303653,11.74606173155523,14.577195853791597,14.832426399806806,17.918791068058383,21.00515573630996,24.091520404561535,27.177885072813112,39.52569169960474
21,104,3.469301934398654,2.5012725234704956,5.642791902267264,8.784311281064035,11.925830659860804,14.590134454711446,15.067350038657574,18.208869417454345,21.350388796251114,24.491908175047882,27.633427553844655,40.65040650406504
22,103,3.648068669527897,2.4164619508543375,5.54149058733614,8.666519223817943,11.791547860299747,14.365069817592072,14.91657649678155,18.041605133263353,21.166633769745157,24.291662406226962,27.416691042708763,41.15226337448559
23,102,3.739800543970988,2.3473924299281315,5.483546613586567,8.619700797245002,11.755854980903436,14.058042983681908,14.892009164561872,18.028163348220307,21.16431753187874,24.300471715537178,27.43662589919561,41.84100418410042
24,101,3.9461467038068707,2.092055618183883,5.369629441037068,8.647203263890255,11.92477708674344,14.124804170241337,15.202350909596626,18.479924732449813,21.757498555303,25.035072378156187,28.312646201009372,42.73504273504274
25,100,3.9906103286384975,1.8432529143082395,5.170508153444144,8.497763392580048,11.825018631715952,13.958860039245355,15.152273870851857,18.479529109987762,21.806784349123667,25.13403958825957,28.461294827395477,43.66812227074236
26,99,4.237288135593221,1.7562034256369508,5.103998716990224,8.451794008343498,11.79958929969677,14.418890165729984,15.147384591050043,18.495179882403317,21.84297517375659,25.190770465109864,28.538565756463136,45.04504504504504
27,98,4.359740906826109,1.8104211825525027,5.203675797991986,8.596930413431469,11.99018502887095,14.51381867205932,15.383439644310434,18.776694259749917,22.169948875189398,25.56320349062888,28.956458106068364,45.662100456621005
28,97,4.1954590325765055,1.9980112986038527,5.375606237585432,8.75320117656701,12.13079611554859,14.296471600688468,15.508391054530168,18.885985993511746,22.263580932493326,25.641175871474907,29.018770810456484,45.87155963302753
29,96,4.601226993865031,2.2612467246516665,5.628189120565736,8.995131516479804,12.362073912393871,14.82372575772342,15.72901630830794,19.09595870422201,22.46290110013608,25.829843496050145,29.196785891964215,45.87155963302753
30,95,4.829545454545454,2.5017310494706724,5.801777869789074,9.101824690107474,12.401871510425876,14.945023148148149,15.701918330744277,19.001965151062677,22.30201197138108,25.60205879169948,28.902105612017884,45.45454545454545
31,94,4.924681344148319,2.3072237325693763,5.570723369358124,8.834223006146871,12.097722642935617,14.325047819999607,15.361222279724364,18.62472191651311,21.888221553301857,25.151721190090605,28.415220826879352,44.44444444444444
